2077668:  564.2041962146759
2077669:  567.5133137702942
2077670:  567.3419010639191
2077671:  574.9653499126434
2077672:  503.9031925201416
2077673:  515.6842277050018
2077674:  508.437712430954
2077676:  595.8540103435516
2077677:  567.1240375041962
2077678:  622.0384182929993
2077679:  1289.7794981002808
2077680:  1149.0897648334503

2077681: NSGA2 -  21842.335860729218
2077682: RNSGA2 -  19845.19513821602
2077683: NSGA3 -  22729.691118240356
2077684: UNSGA3 -  22391.980847120285
2077685: RNSGA3 -  19115.656495332718
2077686: MOEAD -  18380.666969299316
2077687: CTAEA -  20360.414182186127
2077689: AGEMOEA2 -  21363.139528512955
2077690: RVEA -  19394.20339536667
2077691: SMSEMOA -  22526.33560681343
2077727: DNSGA2 -  50951.791591882706
2077728: KGBDMOEA -  50951.38426613808
2077736: AGEMOEA -  568.2786593437195
2077739: AGEMOEA -  21221.906827926636

2077755: CTAEA -  13777.944887399673
2077756: DNSGA2 -  34231.07666540146
2077757: KGBDMOEA -  33922.04062008858
2077758: MOEAD -  12853.80289387703
2077759: AGEMOEA -  14925.363195180893
2077760: AGEMOEA2 -  16549.613482236862
2077761: NSGA2 -  15851.925515174866
2077762: NSGA3 -  16659.357140302658
2077763: RNSGA2 -  13692.510596990585
2077764: RNSGA3 -  13682.846741437912
2077765: RVEA -  14705.935428619385
2077766: SMSEMOA -  17185.337148189545
2077767: UNSGA3 -  16426.245194911957

2077768: CTAEA -  1726.0129013061523
2077769: DNSGA2 -  4118.002959728241
2077770: KGBDMOEA -  4073.626642227173
2077771: MOEAD -  1718.2482528686523
2077772: AGEMOEA -  2011.0378723144531
2077773: AGEMOEA2 -  2039.277587890625
2077774: NSGA2 -  1993.5356299877167
2077775: NSGA3 -  1981.6246111392975
2077776: RNSGA2 -  1956.112368106842
2077777: RNSGA3 -  1750.0828795433044
2077778: RVEA -  1934.328956604004
2077779: SMSEMOA -  2115.4214544296265
2077780: UNSGA3 -  1977.8083827495575

2077781: CTAEA -  10425.471309423447
2077782: DNSGA2 -  25838.19841337204
2077783: KGBDMOEA -  26168.921298503876
2077784: MOEAD -  10593.037800312042
2077785: AGEMOEA -  12460.393860816956
2077786: AGEMOEA2 -  12573.266523361206
2077787: NSGA2 -  12022.85158109665
2077788: NSGA3 -  12684.431717634201
2077789: RNSGA2 -  11328.392671823502
2077790: RNSGA3 -  10659.665001392365
2077791: RVEA -  11941.709602832794
2077792: SMSEMOA -  12294.430315494537
2077794: UNSGA3 -  12625.392655849457

2077795: CTAEA -  577.6125988960266
2077796: DNSGA2 -  1338.8145961761475
2077797: KGBDMOEA -  1352.1551654338837
2077798: MOEAD -  590.9436695575714
2077799: AGEMOEA -  676.8944079875946
2077800: AGEMOEA2 -  687.0578308105469
2077801: NSGA2 -  661.390332698822
2077802: NSGA3 -  662.2868342399597
2077803: RNSGA2 -  660.4910416603088
2077804: RNSGA3 -  577.2712814807892
2077805: RVEA -  641.0924780368805
2077806: SMSEMOA -  756.213686466217
2077807: UNSGA3 -  639.3790032863617

2077808: CTAEA -  2606.5711743831635
2077809: DNSGA2 -  6395.698060274124
2077810: KGBDMOEA -  6403.387254238129
2077811: MOEAD -  2589.205890417099
2077812: AGEMOEA -  3068.6480181217194
2077813: AGEMOEA2 -  3080.7653481960297
2077814: NSGA2 -  3032.5445494651794
2077815: NSGA3 -  3049.830182790756
2077816: RNSGA2 -  2935.113748550415
2077817: RNSGA3 -  2617.208156824112
2077818: RVEA -  2940.1345744132996
2077819: SMSEMOA -  3174.3848633766174
2077820: UNSGA3 -  3036.227177619934

2077821: CTAEA -  10146.429423809052
2077822: DNSGA2 -  25098.185344934464
2077823: KGBDMOEA -  24823.55092740059
2077824: MOEAD -  10087.926345586777
2077825: AGEMOEA -  11942.439197301865
2077826: AGEMOEA2 -  12231.11408996582
2077827: NSGA2 -  11849.889372825623
2077828: NSGA3 -  12165.164910316467
2077829: RNSGA2 -  11233.705887317657
2077830: RNSGA3 -  10135.19428563118
2077831: RVEA -  11428.909658193588
2077832: SMSEMOA -  12286.611545562744
2077833: UNSGA3 -  12086.439042329788

2077841: CTAEA -  1802.2683415412903
2077842: DNSGA2 -  4579.98740196228
2077843: KGBDMOEA -  4595.103209018707
2077844: MOEAD -  1878.3313298225403
2077845: AGEMOEA -  2205.7732882499695
2077846: AGEMOEA2 -  2098.410809278488
2077847: NSGA2 -  2177.7384967803955
2077848: NSGA3 -  2203.3517575263977
2077849: RNSGA2 -  2155.764615535736
2077850: RNSGA3 -  1913.193645954132
2077851: RVEA -  2177.198986530304
2077852: SMSEMOA -  2306.2960143089294
2077853: UNSGA3 -  2200.0914030075073

2077854: CTAEA -  2141.2858262062073
2077855: DNSGA2 -  5234.958206892014
2077856: KGBDMOEA -  5501.666825294495
2077857: MOEAD -  2220.887188911438
2077858: AGEMOEA -  2591.8274204730988
2077859: AGEMOEA2 -  2662.2753105163574
2077860: NSGA2 -  2590.5200242996216
2077861: NSGA3 -  2470.760668516159
2077862: RNSGA2 -  2461.077503681183
2077863: RNSGA3 -  2256.9365243911743
2077864: RVEA -  2521.939252614975
2077865: SMSEMOA -  2750.6826860904694
2077866: UNSGA3 -  2606.320271253586

2077867: CTAEA -  7615.668005228043
2077868: DNSGA2 -  19337.52722120285
2077869: KGBDMOEA -  19551.256460905075
2077870: MOEAD -  7640.284497499466
2077871: AGEMOEA -  9022.197738170624
2077872: AGEMOEA2 -  9170.60094332695
2077873: NSGA2 -  8933.570965766907
2077874: NSGA3 -  9278.151174068451
